id,Öbek İsmi
0,obek_8
1,obek_5
2,obek_2
3,obek_3
4,obek_1
5,obek_2
6,obek_1
7,obek_8
8,obek_6
9,obek_3
10,obek_4
11,obek_4
12,obek_5
13,obek_6
14,obek_7
15,obek_7
16,obek_5
17,obek_5
18,obek_8
19,obek_6
20,obek_6
21,obek_4
22,obek_4
23,obek_1
24,obek_6
25,obek_5
26,obek_6
27,obek_3
28,obek_7
29,obek_4
30,obek_1
31,obek_7
32,obek_2
33,obek_6
34,obek_7
35,obek_2
36,obek_6
37,obek_7
38,obek_6
39,obek_4
40,obek_8
41,obek_2
42,obek_7
43,obek_2
44,obek_1
45,obek_7
46,obek_5
47,obek_4
48,obek_3
49,obek_3
50,obek_6
51,obek_3
52,obek_4
53,obek_3
54,obek_8
55,obek_4
56,obek_8
57,obek_5
58,obek_2
59,obek_4
60,obek_3
61,obek_7
62,obek_8
63,obek_1
64,obek_1
65,obek_3
66,obek_1
67,obek_2
68,obek_8
69,obek_6
70,obek_4
71,obek_3
72,obek_3
73,obek_2
74,obek_1
75,obek_6
76,obek_8
77,obek_7
78,obek_6
79,obek_7
80,obek_3
81,obek_2
82,obek_2
83,obek_6
84,obek_6
85,obek_4
86,obek_8
87,obek_4
88,obek_8
89,obek_4
90,obek_3
91,obek_2
92,obek_5
93,obek_5
94,obek_2
95,obek_5
96,obek_1
97,obek_2
98,obek_4
99,obek_5
100,obek_2
101,obek_4
102,obek_2
103,obek_3
104,obek_4
105,obek_2
106,obek_6
107,obek_8
108,obek_8
109,obek_8
110,obek_5
111,obek_6
112,obek_8
113,obek_4
114,obek_6
115,obek_2
116,obek_1
117,obek_3
118,obek_2
119,obek_8
120,obek_6
121,obek_4
122,obek_3
123,obek_1
124,obek_8
125,obek_4
126,obek_7
127,obek_7
128,obek_3
129,obek_6
130,obek_8
131,obek_1
132,obek_7
133,obek_6
134,obek_8
135,obek_1
136,obek_2
137,obek_4
138,obek_4
139,obek_6
140,obek_1
141,obek_6
142,obek_1
143,obek_3
144,obek_2
145,obek_3
146,obek_1
147,obek_8
148,obek_5
149,obek_4
150,obek_4
151,obek_5
152,obek_8
153,obek_6
154,obek_5
155,obek_3
156,obek_2
157,obek_7
158,obek_6
159,obek_8
160,obek_3
161,obek_8
162,obek_4
163,obek_3
164,obek_3
165,obek_4
166,obek_4
167,obek_5
168,obek_4
169,obek_7
170,obek_1
171,obek_8
172,obek_4
173,obek_8
174,obek_1
175,obek_1
176,obek_4
177,obek_8
178,obek_7
179,obek_1
180,obek_3
181,obek_8
182,obek_6
183,obek_6
184,obek_2
185,obek_5
186,obek_1
187,obek_8
188,obek_4
189,obek_1
190,obek_5
191,obek_4
192,obek_3
193,obek_5
194,obek_6
195,obek_2
196,obek_1
197,obek_4
198,obek_5
199,obek_8
200,obek_3
201,obek_7
202,obek_3
203,obek_3
204,obek_5
205,obek_5
206,obek_8
207,obek_2
208,obek_6
209,obek_5
210,obek_7
211,obek_2
212,obek_3
213,obek_8
214,obek_2
215,obek_5
216,obek_7
217,obek_2
218,obek_3
219,obek_4
220,obek_5
221,obek_4
222,obek_3
223,obek_8
224,obek_4
225,obek_7
226,obek_5
227,obek_1
228,obek_5
229,obek_6
230,obek_6
231,obek_4
232,obek_6
233,obek_4
234,obek_5
235,obek_8
236,obek_3
237,obek_6
238,obek_5
239,obek_8
240,obek_5
241,obek_6
242,obek_7
243,obek_5
244,obek_5
245,obek_4
246,obek_3
247,obek_4
248,obek_7
249,obek_1
250,obek_1
251,obek_5
252,obek_7
253,obek_2
254,obek_3
255,obek_5
256,obek_8
257,obek_6
258,obek_8
259,obek_3
260,obek_1
261,obek_8
262,obek_3
263,obek_8
264,obek_4
265,obek_3
266,obek_4
267,obek_5
268,obek_7
269,obek_8
270,obek_5
271,obek_5
272,obek_8
273,obek_5
274,obek_1
275,obek_6
276,obek_3
277,obek_7
278,obek_8
279,obek_4
280,obek_6
281,obek_8
282,obek_7
283,obek_5
284,obek_3
285,obek_5
286,obek_2
287,obek_1
288,obek_4
289,obek_8
290,obek_6
291,obek_1
292,obek_3
293,obek_4
294,obek_6
295,obek_3
296,obek_4
297,obek_2
298,obek_8
299,obek_8
300,obek_2
301,obek_1
302,obek_4
303,obek_7
304,obek_3
305,obek_4
306,obek_1
307,obek_1
308,obek_1
309,obek_2
310,obek_8
311,obek_5
312,obek_7
313,obek_4
314,obek_3
315,obek_3
316,obek_6
317,obek_2
318,obek_8
319,obek_2
320,obek_6
321,obek_1
322,obek_7
323,obek_1
324,obek_7
325,obek_5
326,obek_8
327,obek_6
328,obek_4
329,obek_1
330,obek_1
331,obek_5
332,obek_2
333,obek_3
334,obek_1
335,obek_1
336,obek_6
337,obek_2
338,obek_1
339,obek_2
340,obek_4
341,obek_1
342,obek_4
343,obek_2
344,obek_7
345,obek_3
346,obek_6
347,obek_3
348,obek_7
349,obek_1
350,obek_7
351,obek_7
352,obek_1
353,obek_5
354,obek_5
355,obek_6
356,obek_3
357,obek_6
358,obek_8
359,obek_4
360,obek_4
361,obek_2
362,obek_8
363,obek_5
364,obek_4
365,obek_8
366,obek_5
367,obek_7
368,obek_7
369,obek_2
370,obek_6
371,obek_6
372,obek_7
373,obek_8
374,obek_4
375,obek_3
376,obek_8
377,obek_7
378,obek_4
379,obek_4
380,obek_1
381,obek_4
382,obek_8
383,obek_4
384,obek_7
385,obek_8
386,obek_3
387,obek_3
388,obek_4
389,obek_8
390,obek_7
391,obek_7
392,obek_1
393,obek_5
394,obek_7
395,obek_4
396,obek_2
397,obek_2
398,obek_1
399,obek_3
400,obek_1
401,obek_2
402,obek_7
403,obek_3
404,obek_6
405,obek_7
406,obek_5
407,obek_1
408,obek_3
409,obek_3
410,obek_1
411,obek_7
412,obek_2
413,obek_8
414,obek_6
415,obek_2
416,obek_7
417,obek_6
418,obek_7
419,obek_8
420,obek_8
421,obek_8
422,obek_5
423,obek_6
424,obek_8
425,obek_3
426,obek_6
427,obek_8
428,obek_4
429,obek_1
430,obek_4
